"filename", "language", "Groovy", "Batch", "XML", "Properties", "Java", "CSS", "HTML", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\.idea\compiler.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\.idea\gradle.xml", "XML", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\.idea\jarRepositories.xml", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\.idea\misc.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\build.gradle", "Groovy", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 54
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 39
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\release\output-metadata.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 18
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\androidTest\java\com\arshsaxena\github\io\aconverter\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 5, 26
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\AndroidManifest.xml", "XML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\assets\404.html", "HTML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\assets\fonts\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 8, 17
